gene.symbol	module
NDUFA1	complex_I
NDUFA2	complex_I
NDUFA3	complex_I
NDUFA4	complex_I
NDUFA5	complex_I
NDUFA6	complex_I
NDUFA7	complex_I
NDUFA8	complex_I
NDUFA9	complex_I
NDUFA10	complex_I
NDUFA11	complex_I
NDUFA12	complex_I
NDUFA13	complex_I
NDUFAB1	complex_I
NDUFAF1	complex_I
NDUFB1	complex_I
NDUFB2	complex_I
NDUFB3	complex_I
NDUFB4	complex_I
NDUFB5	complex_I
NDUFB6	complex_I
NDUFB7	complex_I
NDUFB8	complex_I
NDUFB9	complex_I
NDUFB10	complex_I
NDUFB11	complex_I
NDUFC1	complex_I
NDUFC2	complex_I
NDUFS1	complex_I
NDUFS2	complex_I
NDUFS3	complex_I
NDUFS4	complex_I
NDUFS5	complex_I
NDUFS6	complex_I
NDUFS7	complex_I
NDUFS8	complex_I
NDUFV1	complex_I
NDUFV2	complex_I
NDUFV3	complex_I
MT-ND1	complex_I
MT-ND2	complex_I
MT-ND3	complex_I
MT-ND4	complex_I
MT-ND4L	complex_I
MT-ND5	complex_I
MT-ND6	complex_I
ACAD9	complex_I
ATP5SL	complex_I
BCS1L	complex_I
COA1	complex_I
ECSIT	complex_I
FOXRED1	complex_I
NDUFAF2	complex_I
NDUFAF3	complex_I
NDUFAF4	complex_I
NDUFAF5	complex_I
NDUFAF6	complex_I
NDUFAF7	complex_I
NUBPL	complex_I
OXA1L	complex_I
PARK7	complex_I
TIMM21	complex_I
TIMMDC1	complex_I
TMEM126B	complex_I
ATF4	mito_sig
COX5A	mito_sig
COX6B1	mito_sig
COX7B	mito_sig
NDUFA1	mito_sig
NDUFB1	mito_sig
PET100	mito_sig
SDHB	mito_sig
TOMM7	mito_sig
UQCR11	mito_sig
NDUFA1	mito
NDUFA2	mito
NDUFA3	mito
NDUFA4	mito
NDUFA5	mito
NDUFA6	mito
NDUFA7	mito
NDUFA8	mito
NDUFA9	mito
NDUFA10	mito
NDUFA11	mito
NDUFA12	mito
NDUFA13	mito
NDUFAB1	mito
NDUFAF1	mito
NDUFB1	mito
NDUFB2	mito
NDUFB3	mito
NDUFB4	mito
NDUFB5	mito
NDUFB6	mito
NDUFB7	mito
NDUFB8	mito
NDUFB9	mito
NDUFB10	mito
NDUFB11	mito
NDUFC1	mito
NDUFC2	mito
NDUFS1	mito
NDUFS2	mito
NDUFS3	mito
NDUFS4	mito
NDUFS5	mito
NDUFS6	mito
NDUFS7	mito
NDUFS8	mito
NDUFV1	mito
NDUFV2	mito
NDUFV3	mito
MT-ND1	MT-XXX
MT-ND2	MT-XXX
MT-ND3	MT-XXX
MT-ND4	MT-XXX
MT-ND4L	MT-XXX
MT-ND5	MT-XXX
MT-ND6	MT-XXX
ACAD9	mito
ATP5SL	mito
BCS1L	mito
COA1	mito
ECSIT	mito
FOXRED1	mito
NDUFAF2	mito
NDUFAF3	mito
NDUFAF4	mito
NDUFAF5	mito
NDUFAF6	mito
NDUFAF7	mito
NUBPL	mito
OXA1L	mito
PARK7	mito
TIMM21	mito
TIMMDC1	mito
TMEM126B	mito
SDHA	mito
SDHB	mito
SDHC	mito
SDHD	mito
SDHAF1	mito
SDHAF2	mito
CYC1	mito
CYCS	mito
UQCR10	mito
UQCRB	mito
UQCRC1	mito
UQCRC2	mito
UQCRFS1	mito
UQCRH	mito
UQCRQ	mito
MT-CYB	MT-XXX
LYRM7	mito
PMPCB	mito
SLC25A33	mito
TTC19	mito
UQCR11	mito
COX4I1	mito
COX5A	mito
COX5B	mito
COX6A1	mito
COX7B	mito
COX7C	mito
COX8A	mito
MT-CO1	MT-XXX
MT-CO2	MT-XXX
MT-CO3	MT-XXX
CHCHD5	mito
COA3	mito
COA4	mito
COA5	mito
COX10	mito
COX14	mito
COX15	mito
COX17	mito
COX19	mito
COX20	mito
COX6B1	mito
COX6C	mito
COX7A2L	mito
PET100	mito
SCO1	mito
SCO2	mito
SURF1	mito
ATP5A1	mito
ATP5B	mito
ATP5C1	mito
ATP5D	mito
ATP5E	mito
ATP5F1	mito
ATP5G1	mito
ATP5G2	mito
ATP5G3	mito
ATP5H	mito
ATP5I	mito
ATP5J	mito
ATP5J2	mito
ATP5L	mito
ATP5O	mito
ATP5S	mito
ATPIF1	mito
MT-ATP6	MT-XXX
MT-ATP8	MT-XXX
ATPAF1	mito
ATPAF2	mito
PPIF	mito
TMEM70	mito
USMG5	mito
AARS2	mito
BID	mito
COQ9	mito
DLD	mito
IMMP1L	mito
CAMK4	mito
CAMKK2	mito
ESRRA	mito
ESRRG	mito
GABPA	mito
MEF2A	mito
NCOR1	mito
NRF1	mito
NRIP1	mito
PARP1	mito
PARP2	mito
PPARA	mito
PPARG	mito
PPARGC1A	mito
PPARGC1B	mito
PPRC1	mito
PRKAA1	mito
PRKACA	mito
PRKACB	mito
SIRT1	mito
TP53	mito
ATF2	mito
CEBPG	mito
DDIT3	mito
EGR1	mito
KEAP1	mito
MAPK1	mito
MAPK8	mito
MAPK9	mito
MAPK10	mito
MTOR	mito
NFATC1	mito
NFE2L2	mito
NFKB1	mito
NFKB2	mito
PPP3CC	mito
AFG3L2	mito
AKT1	mito
CLPP	mito
CLPX	mito
DNAJA3	mito
FOXO3	mito
HSF1	mito
HSP90AA1	mito
HSPA4	mito
HSPD1	mito
HSPE1	mito
HTRA2	mito
JUN	mito
LONP1	mito
SIRT3	mito
SIRT7	mito
SMARCA4	mito
SPG7	mito
SSBP1	mito
STAR	mito
TIMM17A	mito
TXN2	mito
YME1L1	mito
ATF3	mito
ATF4	mito
EIF2AK4	mito
EIF2S1	mito
TRIB3	mito
BAK1	mito
BAX	mito
BNIP3	mito
CHCHD3	mito
DNM1L	mito
FIS1	mito
GDAP1	mito
MFF	mito
MFN1	mito
MFN2	mito
MUL1	mito
OMA1	mito
OPA1	mito
STOML2	mito
USP30	mito
DHODH	mito
DNM2	mito
DNM3	mito
LRRK2	mito
MARCH5	mito
MTFP1	mito
MTFR1	mito
MTFR1L	mito
MTFR2	mito
MYO19	mito
PINK1	mito
SLC25A46	mito
CLUH	mito
KIF1B	mito
LRPPRC	mito
MAP1S	mito
MGARP	mito
RHOT1	mito
RHOT2	mito
SYNJ2BP	mito
TRAK1	mito
TRAK2	mito
UBB	mito
BNIP3L	mito
CISD2	mito
FUNDC1	mito
FUNDC2	mito
HK2	mito
SQSTM1	mito
TOMM7	mito
TSPO	mito
VDAC1	mito
NDUFA1	oxphos
NDUFA2	oxphos
NDUFA3	oxphos
NDUFA4	oxphos
NDUFA5	oxphos
NDUFA6	oxphos
NDUFA7	oxphos
NDUFA8	oxphos
NDUFA9	oxphos
NDUFA10	oxphos
NDUFA11	oxphos
NDUFA12	oxphos
NDUFA13	oxphos
NDUFAB1	oxphos
NDUFAF1	oxphos
NDUFB1	oxphos
NDUFB2	oxphos
NDUFB3	oxphos
NDUFB4	oxphos
NDUFB5	oxphos
NDUFB6	oxphos
NDUFB7	oxphos
NDUFB8	oxphos
NDUFB9	oxphos
NDUFB10	oxphos
NDUFB11	oxphos
NDUFC1	oxphos
NDUFC2	oxphos
NDUFS1	oxphos
NDUFS2	oxphos
NDUFS3	oxphos
NDUFS4	oxphos
NDUFS5	oxphos
NDUFS6	oxphos
NDUFS7	oxphos
NDUFS8	oxphos
NDUFV1	oxphos
NDUFV2	oxphos
NDUFV3	oxphos
MT-ND1	oxphos
MT-ND2	oxphos
MT-ND3	oxphos
MT-ND4	oxphos
MT-ND4L	oxphos
MT-ND5	oxphos
MT-ND6	oxphos
ACAD9	oxphos
ATP5SL	oxphos
BCS1L	oxphos
COA1	oxphos
ECSIT	oxphos
FOXRED1	oxphos
NDUFAF2	oxphos
NDUFAF3	oxphos
NDUFAF4	oxphos
NDUFAF5	oxphos
NDUFAF6	oxphos
NDUFAF7	oxphos
NUBPL	oxphos
OXA1L	oxphos
PARK7	oxphos
TIMM21	oxphos
TIMMDC1	oxphos
TMEM126B	oxphos
SDHA	oxphos
SDHB	oxphos
SDHC	oxphos
SDHD	oxphos
SDHAF1	oxphos
SDHAF2	oxphos
CYC1	oxphos
CYCS	oxphos
UQCR10	oxphos
UQCRB	oxphos
UQCRC1	oxphos
UQCRC2	oxphos
UQCRFS1	oxphos
UQCRH	oxphos
UQCRQ	oxphos
MT-CYB	oxphos
LYRM7	oxphos
PMPCB	oxphos
SLC25A33	oxphos
TTC19	oxphos
UQCR11	oxphos
COX4I1	oxphos
COX5A	oxphos
COX5B	oxphos
COX6A1	oxphos
COX7B	oxphos
COX7C	oxphos
COX8A	oxphos
MT-CO1	oxphos
MT-CO2	oxphos
MT-CO3	oxphos
CHCHD5	oxphos
COA3	oxphos
COA4	oxphos
COA5	oxphos
COX10	oxphos
COX14	oxphos
COX15	oxphos
COX17	oxphos
COX19	oxphos
COX20	oxphos
COX6B1	oxphos
COX6C	oxphos
COX7A2L	oxphos
PET100	oxphos
SCO1	oxphos
SCO2	oxphos
SURF1	oxphos
AARS2	oxphos
BID	oxphos
COQ9	oxphos
DLD	oxphos
IMMP1L	oxphos
